path,verdict,detail,samplerate,cutoff_hz,nyquist_hz,slope_db_per_khz
/home/adam/driveBig/Music/My Playlist/Corduroy - BoyWithUke - Burnout.flac,CLEAN,content extends to 21409Hz (Nyquist 22050Hz) - looks genuine,44100,21409,22050,16.4
/home/adam/driveBig/Music/My Playlist/Crazy Amanda Bunkface - Sum 41 - All Killer No Filler.flac,CLEAN,content extends to 21350Hz (Nyquist 22050Hz) - looks genuine,44100,21350,22050,15.1
/home/adam/driveBig/Music/My Playlist/Creep - Radiohead - Pablo Honey.flac,CLEAN,content extends to 22050Hz (Nyquist 22050Hz) - looks genuine,44100,22050,22050,-21.2
/home/adam/driveBig/Music/My Playlist/Dancin' - CG5.flac,CLEAN,content extends to 21452Hz (Nyquist 22050Hz) - looks genuine,44100,21452,22050,20.3
/home/adam/driveBig/Music/My Playlist/Days Move Slow - Bully - Lucky for You.flac,CLEAN,content extends to 21291Hz (Nyquist 22050Hz) - looks genuine,44100,21291,22050,18.3
/home/adam/driveBig/Music/My Playlist/Dime - CAKE - Pressure Chief.flac,CLEAN,content extends to 21404Hz (Nyquist 22050Hz) - looks genuine,44100,21404,22050,19.6
/home/adam/driveBig/Music/My Playlist/Dirty - grandson - Death of an Optimist.flac,CLEAN,content extends to 21183Hz (Nyquist 22050Hz) - looks genuine,44100,21183,22050,14.4
/home/adam/driveBig/Music/My Playlist/Dirty Girl (live at Town Hall) - Eels - Meet the Eels - Essential Eels.flac,CLEAN,content extends to 21377Hz (Nyquist 22050Hz) - looks genuine,44100,21377,22050,21.7
/home/adam/driveBig/Music/My Playlist/Dirty Sexy Money - The Struts - Everybody Wants.flac,CLEAN,content extends to 21302Hz (Nyquist 22050Hz) - looks genuine,44100,21302,22050,17.7
/home/adam/driveBig/Music/My Playlist/Don’t get the deal - beabadoobee - Beatopia.flac,CLEAN,content extends to 21549Hz (Nyquist 22050Hz) - looks genuine,44100,21549,22050,23.8
/home/adam/driveBig/Music/My Playlist/Don’t You (Forget About Me) - beabadoobee - spotify singles.flac,CLEAN,content extends to 21356Hz (Nyquist 22050Hz) - looks genuine,44100,21356,22050,16.9
/home/adam/driveBig/Music/My Playlist/Dracula - Tame Impala - Deadbeat.flac,CLEAN,content extends to 21205Hz (Nyquist 22050Hz) - looks genuine,44100,21205,22050,15.6
/home/adam/driveBig/Music/My Playlist/Drones In The Valley - Cage The Elephant - Cage The Elephant.flac,CLEAN,content extends to 21264Hz (Nyquist 22050Hz) - looks genuine,44100,21264,22050,11.2
/home/adam/driveBig/Music/My Playlist/Drugs - Tai Verdes - TV.flac,CLEAN,content extends to 21275Hz (Nyquist 22050Hz) - looks genuine,44100,21275,22050,18.7
/home/adam/driveBig/Music/My Playlist/Dumb Ways to Die - Tangerine Kitty.flac,CLEAN,content extends to 21479Hz (Nyquist 22050Hz) - looks genuine,44100,21479,22050,26
/home/adam/driveBig/Music/My Playlist/Dumpweed - Blink-182 - Enema of the State.flac,CLEAN,content extends to 21199Hz (Nyquist 22050Hz) - looks genuine,44100,21199,22050,20.9
/home/adam/driveBig/Music/My Playlist/Easier - BoyWithUke - Burnout.flac,CLEAN,content extends to 21307Hz (Nyquist 22050Hz) - looks genuine,44100,21307,22050,12.3
/home/adam/driveBig/Music/My Playlist/Eclipse - Pink Floyd - The Dark Side of the Moon.flac,CLEAN,content extends to 22050Hz (Nyquist 22050Hz) - looks genuine,44100,22050,22050,-27.9
/home/adam/driveBig/Music/My Playlist/Equals - Car Seat Headrest - The Scholars.flac,CLEAN,content extends to 21173Hz (Nyquist 22050Hz) - looks genuine,44100,21173,22050,14.2
/home/adam/driveBig/Music/My Playlist/Flyswatter - Eels - Meet the Eels - Essential Eels.flac,CLEAN,content extends to 21210Hz (Nyquist 22050Hz) - looks genuine,44100,21210,22050,11.1
/home/adam/driveBig/Music/My Playlist/For Those Below - Mumford & Sons - Babel.flac,CLEAN,content extends to 21216Hz (Nyquist 22050Hz) - looks genuine,44100,21216,22050,6.9
/home/adam/driveBig/Music/My Playlist/Inertia - AJR - The Maybe Man.flac,CLEAN,content extends to 21269Hz (Nyquist 22050Hz) - looks genuine,44100,21269,22050,18.3
/home/adam/driveBig/Music/My Playlist/Gas Gas Gas - Manuel - Initial D.flac,CLEAN,content extends to 21194Hz (Nyquist 22050Hz) - looks genuine,44100,21194,22050,13.8
/home/adam/driveBig/Music/My Playlist/Get Ur Freak On - Eels - Meet the Eels - Essential Eels.flac,CLEAN,content extends to 21377Hz (Nyquist 22050Hz) - looks genuine,44100,21377,22050,23.2
/home/adam/driveBig/Music/My Playlist/Gethsemane - Car Seat Headrest - The Scholars.flac,CLEAN,content extends to 21312Hz (Nyquist 22050Hz) - looks genuine,44100,21312,22050,19
/home/adam/driveBig/Music/My Playlist/Ghost Town - Jvke - This is What ____ Feels Like.flac,CLEAN,content extends to 21216Hz (Nyquist 22050Hz) - looks genuine,44100,21216,22050,19
/home/adam/driveBig/Music/My Playlist/Glamorous Indie Rock & Roll - The Killers - Hot Fuss.flac,CLEAN,content extends to 21318Hz (Nyquist 22050Hz) - looks genuine,44100,21318,22050,12.2
/home/adam/driveBig/Music/My Playlist/Glitz At The Ritz - Jules Gaia - Razzmatazz.flac,CLEAN,content extends to 21393Hz (Nyquist 22050Hz) - looks genuine,44100,21393,22050,19.2
/home/adam/driveBig/Music/My Playlist/Got My Mind Set on You - George Harrison - Cloud Nine.flac,CLEAN,content extends to 21199Hz (Nyquist 22050Hz) - looks genuine,44100,21199,22050,20
/home/adam/driveBig/Music/My Playlist/Got to Choose - Kiss - The Very Best of KISS.flac,CLEAN,content extends to 21592Hz (Nyquist 22050Hz) - looks genuine,44100,21592,22050,1.4
/home/adam/driveBig/Music/My Playlist/Grow Up - Paramore - Paramore.flac,CLEAN,content extends to 21399Hz (Nyquist 22050Hz) - looks genuine,44100,21399,22050,9.6
/home/adam/driveBig/Music/My Playlist/Gump - 'Weird Al' Yankovic - Bad Hair Day.flac,CLEAN,content extends to 21442Hz (Nyquist 22050Hz) - looks genuine,44100,21442,22050,31.5
"/home/adam/driveBig/Music/My Playlist/Haha, Hi - BoyWithUke - Fever Dreams.flac",CLEAN,content extends to 21393Hz (Nyquist 22050Hz) - looks genuine,44100,21393,22050,5.7
/home/adam/driveBig/Music/My Playlist/Halo - Cage The Elephant - Melophobia.flac,CLEAN,content extends to 21194Hz (Nyquist 22050Hz) - looks genuine,44100,21194,22050,22.4
/home/adam/driveBig/Music/My Playlist/Happy - Pharrell Williams - Girl.flac,CLEAN,content extends to 21458Hz (Nyquist 22050Hz) - looks genuine,44100,21458,22050,20.6
/home/adam/driveBig/Music/My Playlist/Hard to Love - Bully - Lucky for You.flac,CLEAN,content extends to 21409Hz (Nyquist 22050Hz) - looks genuine,44100,21409,22050,24.2
/home/adam/driveBig/Music/My Playlist/Hazel Eyes - BoyWithUke - Fever Dreams.flac,CLEAN,content extends to 21404Hz (Nyquist 22050Hz) - looks genuine,44100,21404,22050,6.8
/home/adam/driveBig/Music/My Playlist/Hold My Breath - BoyWithUke - BoyWithUke - B Sides.flac,CLEAN,content extends to 21409Hz (Nyquist 22050Hz) - looks genuine,44100,21409,22050,7.7
/home/adam/driveBig/Music/My Playlist/Holiday - Weezer - Weezer (Blue Album).flac,CLEAN,content extends to 21372Hz (Nyquist 22050Hz) - looks genuine,44100,21372,22050,19
/home/adam/driveBig/Music/My Playlist/Hotter Than Hell - Kiss - The Very Best of KISS.flac,CLEAN,content extends to 21598Hz (Nyquist 22050Hz) - looks genuine,44100,21598,22050,0.9
/home/adam/driveBig/Music/My Playlist/House of Gold - Twenty One Pilots - Vessel.flac,CLEAN,content extends to 21173Hz (Nyquist 22050Hz) - looks genuine,44100,21173,22050,24.8
/home/adam/driveBig/Music/My Playlist/How Will I Know - Bully - Lucky for You.flac,CLEAN,content extends to 21496Hz (Nyquist 22050Hz) - looks genuine,44100,21496,22050,32.4
